Passenger_ID,Arrival_Minute,Wait_Time_Minutes,Check_Duration_Minutes,Departure_Minute
Passenger_605,305.43,101.92,2.27,409.62
Passenger_606,305.94,101.58,2.57,410.09
Passenger_608,306.23,103.39,1.36,410.98
Passenger_607,305.96,103.37,2.89,412.22
Passenger_609,306.86,103.23,2.31,412.4
Passenger_610,307.38,103.6,1.93,412.91
Passenger_612,308.96,103.44,0.81,413.2
Passenger_611,308.57,103.65,2.48,414.71
Passenger_613,310.03,102.88,2.12,415.03
Passenger_614,311.66,101.54,2.49,415.7
Passenger_615,311.72,102.98,1.59,416.3
Passenger_617,312.12,103.58,1.26,416.95
Passenger_616,311.81,103.21,2.25,417.27
Passenger_619,313.57,103.38,1.98,418.93
Passenger_618,312.79,103.51,2.69,418.99
Passenger_620,314.12,103.15,1.89,419.16
Passenger_623,314.61,104.55,1.87,421.03
Passenger_622,314.46,104.53,2.37,421.36
Passenger_621,314.32,104.61,2.88,421.81
Passenger_624,314.75,106.29,1.67,422.7
Passenger_625,315.45,105.91,2.11,423.47
Passenger_626,315.48,106.33,2.45,424.26
Passenger_627,315.54,107.16,2.19,424.89
Passenger_628,315.72,107.75,1.44,424.91
Passenger_629,316.85,107.41,1.52,425.79
Passenger_631,318.7,106.21,1.34,426.25
Passenger_630,317.46,107.43,1.44,426.33
Passenger_632,318.78,107.0,1.59,427.38
Passenger_634,319.86,106.48,1.4,427.74
Passenger_633,319.47,106.78,1.92,428.17
Passenger_635,320.0,107.38,2.38,429.76
Passenger_636,320.7,107.03,2.25,429.99
Passenger_637,321.73,106.44,2.03,430.2
Passenger_638,322.15,107.61,1.49,431.25
Passenger_640,322.93,107.27,2.12,432.32
Passenger_641,323.29,107.96,1.82,433.06
Passenger_639,322.5,107.49,3.14,433.13
Passenger_642,323.73,108.59,2.22,434.54
Passenger_644,324.86,108.27,2.19,435.32
Passenger_643,324.56,108.51,3.07,436.14
Passenger_645,325.69,108.85,1.81,436.35
Passenger_646,326.53,108.79,2.77,438.1
Passenger_647,326.57,109.57,2.17,438.31
Passenger_648,329.13,107.22,2.09,438.45
Passenger_649,329.68,108.42,1.5,439.59
Passenger_651,330.16,108.28,2.22,440.67
Passenger_650,330.06,108.25,2.5,440.81
Passenger_652,330.55,109.05,2.14,441.73
Passenger_653,330.67,109.99,2.05,442.72
Passenger_654,330.67,110.14,2.7,443.51
Passenger_656,330.86,111.86,1.37,444.09
Passenger_655,330.69,111.04,3.28,445.02
Passenger_657,331.42,112.08,2.21,445.71
Passenger_658,332.29,111.8,2.09,446.18
Passenger_659,332.45,112.56,2.23,447.24
Passenger_660,333.84,111.88,2.36,448.08
Passenger_661,333.86,112.31,2.07,448.25
Passenger_662,334.54,112.71,1.85,449.09
Passenger_663,334.79,113.28,1.53,449.6
Passenger_664,334.93,113.32,1.59,449.83
Passenger_666,335.94,113.66,1.9,451.5
Passenger_667,336.4,113.43,1.74,451.58
Passenger_665,335.1,113.99,2.69,451.78
Passenger_669,337.06,114.51,0.8,452.37
Passenger_668,336.94,114.56,1.31,452.81
Passenger_670,337.24,114.53,1.67,453.44
Passenger_671,337.27,115.1,1.55,453.93
Passenger_672,338.76,114.05,2.16,454.96
Passenger_674,339.11,114.82,1.65,455.58
Passenger_673,339.03,114.42,2.3,455.74
Passenger_677,340.22,115.52,2.03,457.77
Passenger_676,340.05,115.53,2.22,457.79
Passenger_675,339.34,115.62,2.89,457.86
Passenger_680,341.98,115.88,1.16,459.01
Passenger_681,342.5,116.52,0.44,459.46
Passenger_679,341.86,115.93,2.06,459.85
Passenger_678,341.46,116.32,2.2,459.97
Passenger_682,343.77,115.68,1.2,460.66
Passenger_684,344.95,115.02,1.79,461.76
Passenger_683,344.24,115.61,2.3,462.15
Passenger_685,345.28,115.38,2.09,462.74
Passenger_686,346.85,114.91,1.78,463.54
Passenger_688,348.2,114.54,1.84,464.58
Passenger_687,346.97,115.18,2.92,465.07
Passenger_689,348.56,114.98,2.21,465.74
Passenger_690,348.9,115.68,1.32,465.91
Passenger_691,348.96,116.11,1.84,466.9
Passenger_692,350.95,114.8,1.6,467.35
Passenger_693,351.07,114.84,1.7,467.61
Passenger_694,352.44,114.47,2.1,469.0
Passenger_695,352.67,114.67,2.62,469.97
Passenger_696,353.21,114.4,2.42,470.03
Passenger_697,353.78,115.21,1.91,470.91
Passenger_698,355.48,114.48,1.64,471.61
Passenger_699,355.51,114.52,1.63,471.66
Passenger_700,355.53,115.38,1.69,472.6
Passenger_702,357.39,114.27,1.78,473.44
Passenger_701,356.47,115.14,2.05,473.66
Passenger_703,357.4,115.2,2.06,474.66
Passenger_705,358.3,115.36,2.07,475.73
Passenger_704,357.75,115.69,2.38,475.82
Passenger_706,358.78,115.88,2.0,476.66
Passenger_707,359.98,115.75,2.18,477.91
Passenger_708,360.35,115.47,2.4,478.21
Passenger_709,360.61,116.05,2.36,479.02
